NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,NUM_LOC,LOC_RATIO,CON_LOC,CON_ASSERT,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPED_ELEMENTS_COUPLING,TYPED_ELEMENTS_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
0,0,1,3,1,0,9,4,0,0,34,4,0.095238095238095,38,0,0,0,25,28,5,0,110,39,9,2,296,0.5,0.333333333333333,0,0,0,0,0,0,1,0,1,0,0.052631578947369,0,1,0,0.28125,0.104761904761905,0,1
0,0,6,6,0,0,17,3,2,0,26,3,0.333333333333333,6,0,0,0,13,16,0,0,47,10,4,2,71,1,0.333333333333333,0,0.75,1,0,0,0,1,0,1,0,1,0.4,0,0.75,1,0.571428571428571,0,0.75
0,0,1,1,0,0,7,4,1,0,20,2,0.029850746268657,65,0,0,0,29,37,6,6,184,58,22,10,344,0.5,0.333333333333333,0,0,0.166666666666667,0,0,0,1,0,1,0,0.033333333333333,0,0.333333333333333,0,0.181818181818182,0.127659574468085,0,0
0,0,1,1,0,0,3,1,0,0,3,2,0.074074074074074,25,0,0,0,10,13,3,2,79,30,3,7,121,0.166666666666667,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.061224489795918,0,0.666666666666667,0
0,0,1,2,1,0,12,4,1,1,10,5,0.017182130584193,286,0,0,0,86,110,39,41,1008,419,41,98,938,1,0.176470588235294,0,0,1,0,0,0,1,0,1,0,0.5,0,0,0,0,0,0,0
0,0,1,3,0,0,19,12,0,2,25,4,0.014545454545455,271,0,0,0,87,102,39,40,952,389,43,90,839,1,1,0,0,0,0,0,0,1,0,1,0,0.017241379310345,0,0.666666666666667,0,0.157894736842105,0.035294117647059,0,1
0,0,3,3,0,0,12,3,2,0,16,2,0.08,23,0,0,0,14,8,3,2,80,32,11,10,99,1,0.5,0,0,0.5,0,0,0,1,0,1,0,0.5,0,0,0,0.5,0.5,0,0
0,0,3,2,0,0,10,3,2,0,17,2,0.045454545454546,42,1,0,0,16,11,6,8,112,49,12,11,155,0.5,0,0,0,0.5,0,0,0,1,0,1,0,0.5,0,0,0,0.5,0.5,0,0
0,0,3,2,0,0,10,3,2,0,17,2,0.040816326530612,47,0,0,0,29,18,11,5,131,56,19,8,222,0.5,0.25,0,0.333333333333333,0.25,0,0.333333333333333,0,1,0,1,0,0.25,0,0.333333333333333,0,0.25,0,0.333333333333333,0
0,0,1,3,1,0,14,5,0,0,14,4,0.166666666666667,20,0,0,0,6,5,4,1,42,18,4,5,56,1,0,0.25,0,0,0,0,0,1,0.25,1,0.25,1,0,0.25,0,1,0,0.25,0
0,0,1,1,0,0,8,4,0,1,25,2,0.068965517241379,27,0,0,0,6,6,5,1,54,27,4,6,83,1,0.333333333333333,0.25,0.25,0,0,0,0,1,0.25,1,0.25,0.333333333333333,0,0.25,0,0,0,0,0
0,0,1,1,0,0,4,1,0,1,9,2,0.02247191011236,87,2,0,0,34,29,20,15,278,113,20,14,405,0.05,0,0.5,0,0,0,0,0,1,0,1,0,0.25,0,0.083333333333333,0,0.097560975609756,0,0.416666666666667,0
0,0,0,1,0,1,5,2,0,0,8,2,0.066666666666667,28,0,0,0,9,7,6,5,85,35,5,6,98,0.5,0.25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.230769230769231,0,0,0
0,0,1,2,1,1,13,6,1,0,12,7,0.101449275362319,62,0,0,0,8,34,7,1,159,57,6,12,273,1,0,0,0,1,0,0,0,1,0,1,0,0.333333333333333,0,0.25,0,0.061349693251534,0,0,0
0,0,1,2,0,0,7,4,0,0,43,2,0.166666666666667,10,0,0,0,0,4,1,0,27,12,0,3,113,0.333333333333333,0.142857142857143,0.25,1,0,0,0,0,1,0.25,1,0.25,1,0,0.25,0,0,0,0,0
0,0,3,4,4,6,90,48,1,4,167,26,0.273684210526316,69,0,0,0,2,12,12,10,232,121,3,16,658,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0.25,0,1,0
0,0,0,1,0,0,3,2,0,0,6,2,0.086956521739131,21,0,0,0,5,5,4,2,40,15,2,5,76,0.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,3,2,0,0,6,2,0.076923076923077,24,0,0,0,5,7,4,3,55,24,2,6,97,0.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,3,2,0,0,8,3,0.157894736842105,16,0,0,0,5,10,3,0,36,13,0,3,80,0.333333333333333,0.1,0.25,0.75,0,0,0,0,0.5,0.25,0.5,0.25,0,0,0,0,0,0,0,0
0,0,0,1,0,0,2,1,0,0,6,2,0.090909090909091,20,0,0,0,9,15,2,3,77,29,8,6,117,0.125,0,0.333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,7,2,0,1,13,5,0.238095238095238,16,0,0,0,8,10,3,2,54,17,1,3,100,0.2,0.166666666666667,0.75,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0625,0,1,0
0,0,3,2,1,2,20,5,1,0,30,6,0.375,10,0,0,0,1,4,2,3,34,10,0,1,79,1,0.5,0,0,1,0,0,0,1,0,1,0,1,0.666666666666667,0,0,0.472222222222222,0,1,0
0,0,0,1,0,0,3,2,0,0,11,2,0.117647058823529,15,0,0,0,4,6,2,0,39,17,1,6,96,1,0.333333333333333,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.15625,0,0.5,0
0,0,1,1,0,0,5,2,1,0,5,2,0.03921568627451,49,0,0,0,35,16,6,12,124,40,30,3,141,1,0.2,0.333333333333333,0.666666666666667,0.2,0,0.666666666666667,0,1,0.333333333333333,1,0.333333333333333,0.032258064516129,0,1,0,0.037878787878788,0,1,0
0,0,7,3,0,1,28,8,5,1,34,3,0.5,3,0,0,0,2,2,0,0,7,1,0,2,8,1,1,0,0,1,1,0,0,1,0,1,0,1,0.714285714285714,0,1,0,0,0,0
0,0,5,4,0,0,18,4,3,2,23,3,0.15,17,0,0,1,4,2,0,4,32,12,3,1,42,1,0,0,0,1,0,0,0,1,0,1,0,1,0.5,0,0,1,0.411764705882353,0,0.666666666666667
0,0,1,1,2,0,15,8,3,1,20,9,0.473684210526316,10,0,0,0,3,1,1,0,28,10,4,4,30,1,0,0,0,1,0.5,0,0.333333333333333,1,0,1,0,0.333333333333333,0,0.333333333333333,0,0.5,0,0.333333333333333,0
0,0,0,2,0,0,16,10,2,0,20,5,0.079365079365079,58,0,0,0,1,11,11,4,124,59,7,8,185,0.3,0.285714285714286,0.142857142857143,0.142857142857143,0.285714285714286,0,0.142857142857143,0,1,0.142857142857143,1,0.142857142857143,0,0,0,0,0.222222222222222,0,0.142857142857143,0
0,0,0,1,0,0,5,4,0,0,9,3,0.75,1,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0.666666666666667,0,0,0,0,0,1,0.333333333333333,1,0.666666666666667,0,0,0,0,0.75,0,1,0
0,0,0,1,0,0,5,4,0,0,9,3,0.75,1,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0.666666666666667,0,0,0,0,0,1,0.333333333333333,1,0.666666666666667,0,0,0,0,0.75,0,1,0
0,0,0,1,0,0,2,1,0,0,3,2,0.166666666666667,10,0,0,0,2,5,0,0,24,7,1,3,46,0.5,0,0.333333333333333,0,0,0,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0,0,0.176470588235294,0,1,0
0,0,1,1,0,1,6,3,0,0,3,2,0.153846153846154,11,0,0,0,1,1,0,6,46,20,0,2,21,1,0.105263157894737,0,1,0,0,0,0,1,0,1,0,0.5,0,0,0,1,0.086956521739131,0,1
0,0,1,1,0,0,6,3,1,0,9,3,0.428571428571429,4,0,0,0,3,1,1,1,12,3,2,0,22,1,0.5,0.666666666666667,0.666666666666667,0.5,0,0.666666666666667,0,1,0.333333333333333,1,0.666666666666667,0.25,0,0.666666666666667,0,0.333333333333333,0,1,0
0,0,0,1,1,0,7,3,0,1,15,5,0.043103448275862,111,0,1,0,27,48,22,9,412,207,69,25,728,0.083333333333333,0.047619047619048,0.6,0.6,0,0,0,0,0.333333333333333,0.6,0.333333333333333,0.6,0,0,0,0,0.006802721088435,0,1,0
0,0,1,2,1,2,15,7,1,0,34,6,0.666666666666667,3,0,0,0,1,2,0,0,12,6,1,2,38,1,0,0.666666666666667,0,1,0,0,0,1,0.333333333333333,1,0.666666666666667,0.5,0,0.666666666666667,0,0.571428571428571,0,1,0
0,0,1,3,1,2,18,9,1,0,41,7,0.777777777777778,2,0,0,0,1,1,0,0,9,4,1,2,31,1,0,0.666666666666667,0,1,0,0,0,1,0.333333333333333,1,0.666666666666667,0.5,0,0.666666666666667,0,0.714285714285714,0,1,0
0,0,0,2,0,0,6,4,0,0,18,3,0.176470588235294,14,0,0,0,4,7,2,0,37,17,0,4,75,1,0.333333333333333,0.666666666666667,0.666666666666667,0,0,0,0,1,0.333333333333333,1,0.666666666666667,0,0,0,0,0.75,0,1,0
0,0,1,2,0,0,7,3,0,0,13,2,0.117647058823529,15,0,0,0,3,7,2,0,37,18,0,4,80,0.333333333333333,0.25,0,0.333333333333333,0,0,0,0,1,0,1,0,0.5,0,0,0,0,0,0,0
0,0,0,1,1,0,6,2,0,0,4,4,0.097560975609756,37,0,0,0,8,23,8,1,102,40,1,8,226,0.25,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0
0,0,2,2,0,0,8,1,1,0,11,2,0.111111111111111,16,0,0,0,7,9,0,3,46,10,1,4,77,0.5,0,0.25,0,0.5,0,0.25,0,1,0,1,0,0.5,0,0.25,0,0.5,0.109090909090909,0.25,1
0,0,0,1,0,0,4,2,0,0,10,2,0.222222222222222,7,0,1,0,7,6,0,0,71,10,2,3,117,0.5,0,0.666666666666667,0,0,0,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0,0,0.375,0,1,0
0,0,1,1,0,0,4,1,1,0,6,2,0.05,38,0,0,0,11,16,3,2,98,22,6,7,140,0.2,0,0,0,0.2,0,0,0,1,0,1,0,0.142857142857143,0,0,0,0.125,0.037383177570094,0.166666666666667,1
0,0,1,1,0,0,4,1,1,0,6,2,0.028169014084507,69,0,1,0,30,34,6,5,223,53,20,14,348,0.333333333333333,0,0,0,0.333333333333333,0,0,0,1,0,1,0,0.1,0,0,0,0.054054054054054,0.017241379310345,0.166666666666667,1
0,0,1,1,0,0,5,1,1,0,6,3,0.046153846153846,62,0,1,0,34,32,5,3,220,56,21,13,384,0.333333333333333,0,0.090909090909091,0,0.333333333333333,0,0.090909090909091,0,1,0.090909090909091,1,0.090909090909091,0.1,0,0.363636363636364,0,0.057142857142857,0,0.545454545454545,0
0,0,4,3,1,0,15,2,2,1,18,6,0.352941176470588,11,0,1,0,7,8,1,1,86,15,2,2,134,1,0,0,0,1,0,0,0,1,0,1,0,1,0.428571428571429,0,0.333333333333333,1,0.333333333333333,0,1
0,0,1,1,0,0,4,2,1,0,7,2,0.0625,30,0,0,0,16,20,2,2,96,30,6,9,191,1,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,1,0.333333333333333,1,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.111111111111111,0.043103448275862,0.333333333333333,0.666666666666667
0,0,1,2,0,0,10,2,1,2,17,3,0.125,21,0,0,0,8,13,1,2,61,20,3,6,96,1,0,0.333333333333333,0,1,0,0.333333333333333,0,1,0.333333333333333,1,0.333333333333333,0.2,0,0.666666666666667,0,0.375,0,0.333333333333333,0
0,0,2,1,0,0,7,2,1,0,22,2,0.166666666666667,10,0,0,0,7,6,1,1,34,12,1,1,123,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
