NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,LOC_CANDIDATE,LOC_RATIO,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
0,0,3,11,3,1,42,13,0,1,76,15,0.833333333333333,0,0,3,6,0,0,17,7,0,0,64,1,1,0.25,0.5,0,0,0,0,1,0.25,1,0,0.25,0,1,0.91304347826087,0.25,0.75
0,0,3,11,3,1,42,13,0,1,76,15,0.789473684210526,0,0,3,6,0,0,19,8,0,1,68,1,1,0.25,0.5,0,0,0,0,1,0.25,1,0,0.25,0,1,0.91304347826087,0.25,0.75
1,0,16,3,1,3,99,26,13,5,50,12,0.521739130434783,0,0,27,11,1,0,89,31,21,5,94,1,1,0.333333333333333,0.333333333333333,1,0,0.333333333333333,0,1,0.111111111111111,0.41025641025641,0,1,0,0.431034482758621,0,1,0
0,0,7,7,0,3,40,11,3,2,28,8,0.296296296296296,0,0,14,16,1,4,60,15,10,1,68,1,1,0.6,0.2,1,0,0.4,0,1,0.2,1,0,0.2,0,1,0,0.8,0
0,0,5,13,4,1,63,26,3,2,85,18,0.486486486486487,0,0,25,12,3,0,77,31,16,1,148,1,0,0.75,0,0.6,0,0.5,0,1,0.5,1,0.111111111111111,0.25,0.5,0.25,0,1,0
0,1,16,20,4,11,157,73,16,6,154,47,0.712121212121212,0,0,25,12,3,0,77,31,16,1,148,1,0,0.6,0,1,1,0.4,0.4,1,0.2,0.4,0,0.8,0,0.474226804123711,0,1,0
0,0,7,11,2,3,83,40,7,6,85,22,0.536585365853659,0,0,25,12,3,0,77,31,16,1,148,1,0,0.75,0,1,0,0.5,0,1,0.25,0.225806451612903,0,0.75,0,0.310810810810811,0,1,0
0,0,5,6,1,0,21,6,0,0,56,8,0.228571428571429,0,0,18,22,3,0,79,28,5,1,234,0.444444444444444,0.4,0.8,0.4,0,0,0,0,1,0.2,1,0.5,0.2,0.2,1,0.5,0.2,0.2
0,0,10,10,3,0,50,17,5,2,113,15,0.357142857142857,0,0,18,22,3,0,79,28,5,1,234,1,1,0.25,0.25,1,0,0.25,0,1,0.25,0.5,0,0.25,0,0.5,0.5,0.25,0.25
0,0,4,7,0,0,18,6,1,1,30,5,0.555555555555556,0,0,18,17,0,0,52,8,6,1,78,1,1,0.75,0.25,1,0,0.25,0,1,0.25,1,0.6,0.25,0.75,1,0,1,0
0,0,1,4,1,0,14,4,1,1,22,6,0.08955223880597,0,0,33,36,5,6,188,61,25,10,360,1,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,0.033333333333333,0,0.333333333333333,0,0.253731343283582,0,1,0
0,0,1,1,0,0,10,4,0,2,27,4,0.148148148148148,0,0,11,14,3,2,76,28,3,6,108,1,0,0.333333333333333,0,0,0,0,0,1,0.333333333333333,0.2,0,0.333333333333333,0,0.122448979591837,0,0.666666666666667,0
0,0,3,10,1,2,71,31,0,8,112,20,0.06872852233677,0,0,87,104,39,40,960,397,43,91,854,1,1,0.333333333333333,0.333333333333333,0,0,0,0,1,0.333333333333333,0.051724137931035,0,0.666666666666667,0,0,0,0,0
0,0,2,2,0,0,15,6,0,2,14,4,0.014545454545455,0,0,87,104,39,40,960,397,43,91,854,1,0.05,0.666666666666667,0.666666666666667,0,0,0,0,1,0.333333333333333,0.03448275862069,0,0.666666666666667,0,0.070588235294118,0.012121212121212,1,0.666666666666667
0,0,2,3,0,0,35,14,2,5,47,9,0.36,0,0,16,9,3,2,62,23,11,6,89,1,1,0.25,0.25,1,0,0.25,0,1,0.25,1,0,0.25,0,0.090909090909091,0,0.25,0
